N°;Fecha;Medida;Actores;Lugar;Demanda
101;14/06/2025;Plantón;Vecinos    del    distrito    de Miraflores;Miraflores, Lima Metropolitana;Rechazan   gestión   municipal del alcalde de Miraflores
102;15/06/2025;Plantón;Deudos   de   víctimas   de accidente de tránsito;Azángaro, Azángaro, Puno;"Exigen     justicia     para     las víctimas    de    accidente    de
tránsito   en   la   provincia   de Azángaro"
103;16/06/2025;Plantón;"Federación                     de Trabajadores        de        la Industria  Manufacturera  y Servicios  Afines  del  Perú (FETRIMAP   -   CGTP)   y
bases,  Sindicato  Único  de Trabajadores de Ajinomoto
del Perú";Jesús María, Lima Metropolitana;Exigen  el  respeto  a la libertad sindical,       la       negociación colectiva y la derogatoria de la ley de ceses colectivos.
104;16/06/2025;Plantón;Población  local,  sociedad civil;Cercado de Lima, Lima Metropolitana;Respaldo     a     la     resolución emitida  por  la  Junta  Nacional de Justicia
105;16/06/2025;Bloqueo;"Madres        de        familia
beneficiarias del programa Vaso de Leche";Ate, Lima Metropolitana;"Exigen  a  la  Municipalidad  de
Ate la entrega de productos del programa Vaso de Leche"
106;16/06/2025;Plantón;Familiares  y  allegados  de cinco                pescadores desaparecidos;Máncora, Talara, Piura;"Exigen  a  la  Capitanía  local  el despliegue   de   acciones   de búsqueda y rescate para hallar
a            los            pescadores desaparecidos"
107;16/06/2025;Plantón;Padres de familia de la I.E. Guillermo Auza Arce;Alto de la Alianza, Tacna, Tacna;"Exigen   la   destitución   de   la
directora    de    la    I.E.,    pues aducen  falta  de  comunicación abierta  hacia  a  los  padres  e irregularidades     durante     su
gestión"
108;16/06/2025;Plantón;Trabajadores   municipales del Parque Néstor Martos;Piura, Piura;"Exigen    a    la    Municipalidad
Provincial de Piura el pago de remuneraciones"
109;16/06/2025;Plantón;Población  local  del  distrito de Namora, Asociación de Guías    Profesionales    en Turismo Cajamarca;Cajamarca, Cajamarca;"Exigen al Gobierno Regional de Cajamarca    la    ejecución    de obras en el distrito de Namora
en beneficio de la población y el turismo"
110;16/06/2025;Plantón;Sindicato      Unitario      de Trabajadores   Municipales de Chosica;Lurigancho, Lima Metropolitana;Exigen    el    respeto    de    sus derechos  laborales  y  respeto de la negociación colectiva
